Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,EnvironmentVariables,Toolchain,IsBaseline,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Min,Max,Rank,Gen 0,Gen 1,Allocated
MeasureRoutineNLog,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"6,604.9 us",137.43 us,321.24 us,"6,468.3 us","6,175.1 us","7,461.8 us",3,109.3750,-,355.04 KB
MeasureRoutineNoAuthorizationNLog,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,522.6 us,24.83 us,73.20 us,487.9 us,439.8 us,719.0 us,1,12.6953,-,40.71 KB
MeasureRoutineRepositoryNLog,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"7,501.3 us",165.74 us,403.45 us,"7,346.5 us","7,009.6 us","8,642.7 us",4,125.0000,-,390.2 KB
MeasureRoutineRepositoryExceptionNLog,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"12,332.4 us",243.75 us,407.25 us,"12,276.6 us","11,621.4 us","13,435.9 us",5,187.5000,62.5000,939.45 KB
MeasureRoutineRepositoryExceptionMailNLog,Default,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,.NET Core 2.0,Default,1,Default,Default,Default,Default,16,Default,"41,304.1 us",818.61 us,"1,762.15 us","40,919.7 us","38,778.5 us","46,315.1 us",9,250.0000,-,778.65 KB
MeasureRoutineNLog,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"14,350.0 us",273.71 us,417.98 us,"14,319.1 us","13,713.3 us","15,633.5 us",6,109.3750,-,356.53 KB
MeasureRoutineNoAuthorizationNLog,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"4,518.4 us",85.95 us,105.55 us,"4,504.6 us","4,332.2 us","4,766.4 us",2,7.8125,-,42.3 KB
MeasureRoutineRepositoryNLog,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"15,726.6 us",340.56 us,605.35 us,"15,607.6 us","14,862.0 us","17,456.0 us",7,125.0000,-,394.01 KB
MeasureRoutineRepositoryExceptionNLog,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"17,368.6 us",341.45 us,689.74 us,"17,215.8 us","16,472.3 us","19,646.1 us",8,250.0000,62.5000,878.01 KB
MeasureRoutineRepositoryExceptionMailNLog,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,16,Default,"45,682.7 us","1,021.34 us","1,291.67 us","45,709.5 us","42,803.5 us","48,991.7 us",10,187.5000,-,752.15 KB
