Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Mean,Error,StdDev,Min,Max,Median,Rank,Gen 0,Allocated
TestListClass,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.599 us,0.0408 us,0.0382 us,5.561 us,5.689 us,5.583 us,3,-,0 B
TestArrayClass,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.024 us,0.0102 us,0.0096 us,2.011 us,2.043 us,2.022 us,2,-,0 B
TestListStruct,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,8.427 us,0.1983 us,0.2204 us,8.101 us,9.007 us,8.374 us,5,-,0 B
TestArrayStruct,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1.539 us,0.0295 us,0.0276 us,1.502 us,1.577 us,1.537 us,1,-,0 B
TestLinqClass,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,13.117 us,0.1007 us,0.0892 us,13.007 us,13.301 us,13.089 us,7,0.0153,80 B
TestLinqStruct,Clr,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,28.676 us,0.1837 us,0.1534 us,28.441 us,28.957 us,28.660 us,9,-,96 B
TestListClass,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,5.747 us,0.1147 us,0.1275 us,5.567 us,5.945 us,5.756 us,4,-,0 B
TestArrayClass,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,2.023 us,0.0299 us,0.0279 us,1.990 us,2.069 us,2.013 us,2,-,0 B
TestListStruct,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,8.753 us,0.1659 us,0.1910 us,8.498 us,9.110 us,8.670 us,6,-,0 B
TestArrayStruct,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,1.552 us,0.0307 us,0.0377 us,1.496 us,1.618 us,1.552 us,1,-,0 B
TestLinqClass,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,14.286 us,0.2430 us,0.2273 us,13.956 us,14.678 us,14.313 us,8,0.0153,72 B
TestLinqStruct,Core,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Core,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,30.121 us,0.5941 us,0.5835 us,28.928 us,30.909 us,30.153 us,10,-,88 B
